kd_kec,kecamatan,kd_desa,desa,kdsls,idsls,no,no_batch
060,SERAWAI,001,BARAS NABUN,000100,'6107060001000100,1,61070001
060,SERAWAI,001,BARAS NABUN,000200,'6107060001000200,2,61070002
060,SERAWAI,001,BARAS NABUN,000300,'6107060001000300,3,61070003
060,SERAWAI,001,BARAS NABUN,000400,'6107060001000400,4,61070004
060,SERAWAI,001,BARAS NABUN,000500,'6107060001000500,5,61070005
060,SERAWAI,001,BARAS NABUN,000600,'6107060001000600,6,61070006
060,SERAWAI,001,BARAS NABUN,200100,'6107060001200100,7,61070007
060,SERAWAI,002,JELUNDUNG,000100,'6107060002000100,8,61070008
060,SERAWAI,002,JELUNDUNG,000200,'6107060002000200,9,61070009
060,SERAWAI,002,JELUNDUNG,000300,'6107060002000300,10,61070010
060,SERAWAI,002,JELUNDUNG,000400,'6107060002000400,11,61070011
060,SERAWAI,002,JELUNDUNG,000500,'6107060002000500,12,61070012
060,SERAWAI,002,JELUNDUNG,000600,'6107060002000600,13,61070013
060,SERAWAI,002,JELUNDUNG,200100,'6107060002200100,14,61070014
060,SERAWAI,003,NANGA RIYOI,000100,'6107060003000100,15,61070015
060,SERAWAI,003,NANGA RIYOI,000200,'6107060003000200,16,61070016
060,SERAWAI,003,NANGA RIYOI,000300,'6107060003000300,17,61070017
060,SERAWAI,003,NANGA RIYOI,000400,'6107060003000400,18,61070018
060,SERAWAI,003,NANGA RIYOI,200100,'6107060003200100,19,61070019
060,SERAWAI,004,BUNTUT PONTE,000100,'6107060004000100,20,61070020
060,SERAWAI,004,BUNTUT PONTE,000200,'6107060004000200,21,61070021
060,SERAWAI,004,BUNTUT PONTE,000300,'6107060004000300,22,61070022
060,SERAWAI,004,BUNTUT PONTE,000400,'6107060004000400,23,61070023
060,SERAWAI,004,BUNTUT PONTE,000500,'6107060004000500,24,61070024
060,SERAWAI,004,BUNTUT PONTE,000600,'6107060004000600,25,61070025
060,SERAWAI,004,BUNTUT PONTE,200100,'6107060004200100,26,61070026
060,SERAWAI,005,NANGA SEGULANG,000100,'6107060005000100,27,61070027
060,SERAWAI,005,NANGA SEGULANG,000200,'6107060005000200,28,61070028
060,SERAWAI,005,NANGA SEGULANG,000300,'6107060005000300,29,61070029
060,SERAWAI,005,NANGA SEGULANG,000400,'6107060005000400,30,61070030
060,SERAWAI,005,NANGA SEGULANG,000500,'6107060005000500,31,61070031
060,SERAWAI,005,NANGA SEGULANG,000600,'6107060005000600,32,61070032
060,SERAWAI,005,NANGA SEGULANG,200100,'6107060005200100,33,61070033
060,SERAWAI,006,NANGA MENTATAI,000100,'6107060006000100,34,61070034
060,SERAWAI,006,NANGA MENTATAI,000200,'6107060006000200,35,61070035
060,SERAWAI,006,NANGA MENTATAI,000300,'6107060006000300,36,61070036
060,SERAWAI,006,NANGA MENTATAI,000400,'6107060006000400,37,61070037
060,SERAWAI,006,NANGA MENTATAI,000500,'6107060006000500,38,61070038
