no_batch,penerima
61070001,1
61070002,1
61070003,1
61070004,1
61070005,1
61070006,1
61070007,1
61070008,1
61070009,1
61070010,1
61070011,1
61070012,1
61070013,1
61070014,1
61070015,1
61070016,1
61070017,1
61070018,1
61070019,1
61070020,1
61070021,1
61070022,1
61070023,1
61070024,1
61070025,1
61070026,1
61070027,1
61070028,1
61070029,1
61070030,1
61070031,1
61070032,1
61070033,1
61070034,1
61070035,1
61070036,1
61070037,1
61070038,1
61070039,1
61070040,1
61070041,1
61070042,1
61070043,1
61070044,1
61070045,1
61070046,1
61070047,1
61070048,1
61070049,1
61070050,1
61070051,1
61070052,1
61070053,1
61070054,1
61070055,1
61070056,1
61070057,1
61070058,1
61070059,1
61070060,1
61070061,1
61070062,1
61070063,1
61070064,1
61070065,1
61070066,1
61070067,1
61070068,1
61070069,1
61070070,1
61070071,1
61070072,1
61070073,1
61070074,1
61070075,1
61070076,1
61070077,1
61070078,1
61070079,1
61070080,1
61070081,1
61070082,1
61070083,1
61070084,1
61070085,1
61070086,1
61070087,1
61070088,1
61070089,1
61070090,1
61070091,1
61070092,1
61070093,1
61070094,1
61070095,1
61070096,1
61070097,1
61070098,1
61070099,1
61070100,1
61070101,1
61070102,1
61070103,1
61070104,1
61070105,1
61070106,1
61070107,1
61070108,1
61070109,1
61070110,1
61070111,1
61070112,1
61070113,1
61070114,1
61070115,1
61070116,1
61070117,1
61070118,1
61070119,1
61070120,1
61070121,1
61070122,1
61070123,1
61070124,1
61070125,1
61070126,1
61070127,1
61070128,1
61070129,1
61070130,1
61070131,1
61070132,1
61070133,1
61070134,1
61070135,1
61070136,1
61070137,1
61070138,1
61070139,1
61070140,1
61070141,1
61070142,1
61070143,1
61070144,1
61070145,1
61070146,1
61070147,1
61070148,1
61070149,1
61070150,1
61070151,1
61070152,1
61070153,1
61070154,1
61070155,1
61070156,1
61070157,1
61070158,1
61070159,1
61070160,1
61070161,1
61070162,1
61070163,1
61070164,1
61070165,1
61070166,1
61070167,1
61070168,1
61070169,1
61070170,1
61070171,1
61070172,1
61070173,1
61070174,1
61070175,1
61070176,1
61070177,1
61070178,1
61070179,1
61070180,1
61070181,1
61070182,1
61070183,1
61070184,1
61070185,1
61070186,1
61070187,1
61070188,1
61070189,1
61070190,1
61070191,1
61070192,1
61070193,1
61070194,1
61070195,1
61070196,1
61070197,1
61070198,1
61070199,1
61070200,1
61070201,1
61070202,1
61070203,1
61070204,1
61070205,1
61070206,1
61070207,1
61070208,1
61070209,1
61070210,1
61070211,1
61070212,1
61070213,1
61070214,1
61070215,1
61070216,1
61070217,1
61070218,1
61070219,1
61070220,1
61070221,1
61070222,1
61070223,1
61070224,1
61070225,1
61070226,1
61070227,1
61070228,1
61070229,1
61070230,1
61070231,1
61070232,1
61070233,1
61070234,1
61070235,1
